K,Reconstruction Score All,Mean Diff Score All,Reconstruction Score Structural,Mean Diff Score Structural,Reconstruction Score Attribute,Mean Diff Score Attribute
25,0.014814814814814815,0.003703703703703704,0.022727272727272728,0.007575757575757576,0.007246376811594203,0.0
50,0.02962962962962963,0.014814814814814815,0.03787878787878788,0.022727272727272728,0.021739130434782608,0.007246376811594203
75,0.03333333333333333,0.022222222222222223,0.045454545454545456,0.022727272727272728,0.021739130434782608,0.021739130434782608
100,0.05555555555555555,0.040740740740740744,0.06060606060606061,0.030303030303030304,0.050724637681159424,0.050724637681159424
125,0.05555555555555555,0.04814814814814815,0.06060606060606061,0.045454545454545456,0.050724637681159424,0.050724637681159424
150,0.06666666666666667,0.07037037037037037,0.07575757575757576,0.09090909090909091,0.057971014492753624,0.050724637681159424
175,0.08518518518518518,0.08148148148148149,0.09848484848484848,0.11363636363636363,0.07246376811594203,0.050724637681159424
200,0.0962962962962963,0.1,0.11363636363636363,0.13636363636363635,0.07971014492753623,0.06521739130434782
225,0.10740740740740741,0.11481481481481481,0.12878787878787878,0.15151515151515152,0.08695652173913043,0.07971014492753623
250,0.11481481481481481,0.1259259259259259,0.12878787878787878,0.15151515151515152,0.10144927536231885,0.10144927536231885
